Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
FRE,PoS,PoS,50000000.0,50000000.0,-0.3042181490032706,1.730069136669013,-0.19513682500801674,0,FreeCoin
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.3513872004257851,0.9414451956288322,-0.5540323472397056,0,PLNCoin
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.35154173244755466,0.9414366336834957,-0.5540276540400747,0,AquariusCoin
KURT,X11,PoW,61364813.0,228000000.0,-0.2226227580261606,-0.9343548874555269,0.11036261174898253,2,Kurrent
XCRE,PoS,PoS,20000000.0,20000000.0,-0.3047987228604217,1.730065302344873,-0.19512378286398263,0,Creatio
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.41294276654342715,1.1224041983140534,-0.44830034204639463,0,Eternity
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3390779152355379,0.7181805230208054,-0.35459491287077793,0,Eurocoin
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.35138801865156927,0.9414488127490791,-0.5540329157350807,0,BitcoinFast
XSN,X11,TPoS,75590369.0,76500000.0,-0.36607331879115634,0.6485255936901184,0.0004216960327914452,0,Stakenet
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.35153572763831126,0.9414461025885055,-0.5540293165425129,0,BitConnect Coin
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.34710730418703806,0.9412158495592158,-0.5540867567108272,0,MoneyCoin
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.413398415774059,1.1224219153283441,-0.4482934640528446,0,Enigma
XCI,CryptoNight,PoW,978145.0,21000000.0,0.3222207725008743,-2.2455271680803963,0.4564084306954269,2,Cannabis Industry Coin
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.3507434190794391,0.9414018778469743,-0.5540391026656529,0,Russiacoin
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.371148614387357,0.8888063857489005,-0.31247922931370803,0,PandaCoin
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.35173555483505364,0.941447862834922,-0.5540253265584146,0,GameUnits
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.3518063852294799,0.9414513644682593,-0.554024378484706,0,GAKHcoin
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,-0.3208020510154395,1.6203525603165077,-0.23443312012260614,0,Allsafe
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3620652626269722,0.5094442389950492,-0.33977929531520695,0,LiteCreed
OS76,Scrypt,PoW,894026.0,2714286.0,-0.1633923287833945,-1.115274109019186,0.004673906323661068,2,OsmiumCoin
BIC,CryptoNight,PoW,9357088.0,25000000.0,0.32235176785226566,-2.2455244784558985,0.45640519240590766,2,Bikercoins
HXX,Lyra2RE,PoW,1876146.443596,9999999.0,-0.16012179215577857,-2.2166009126456014,0.38631960115810826,2,HexxCoin
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.3480195998229201,0.9412780343801802,-0.5540773132197226,0,Klingon Empire Darsek
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.3391918304634158,0.7181752331753395,-0.354591618742678,0,Internet of People
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.4133081537701193,1.1224227157875013,-0.44829552482306256,0,KushCoin
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.3515835828926402,0.9414494284671895,-0.5540288315316085,0,Printerium
PAC,X11,PoW,536982074.0,100000000000.0,0.49311265775033386,-0.970999658710397,0.10098670294392464,2,PacCoin
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.35171071879606697,0.9414429861829468,-0.5540250678530275,0,Impeach
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.1534868093578207,-2.1957834772032356,0.39311441089149823,2,Citadel
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,-0.2735544813099586,0.8839859253110217,-0.29790532544087883,0,Zilbercoin
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.27582823749170443,0.31377314267015055,-0.35184905022425894,0,FirstCoin
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.16336055287793907,-1.1152732427211565,0.004673086154512178,2,BeaverCoin
FIND,X13,PoS,14524851.4827,14524851.4827,-0.23031949530429327,1.6139985007136821,-0.3212499643921398,0,FindCoin
VLTC,X11,PoW,30385540.0,1000000000.0,-0.2175087841654901,-0.9346556735053607,0.11030193160967008,2,VaultCoin
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.1661311398258245,-2.148861075166464,0.40302283904354086,2,Zero
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.33251809200473265,0.9415787514792479,-0.5544576751192536,0,OpenChat
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.16148925225640448,-1.1152608472330885,0.004631042878792481,2,Canada eCoin
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.15983953554743385,-2.216596686280591,0.38631287778067547,2,Zoin
RNS,Scrypt,PoS,36050365.0,34426423.0,-0.273295482884875,0.8840100104442763,-0.2979147684964356,0,RenosCoin
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.17200416230303678,-2.2412867454199605,0.3633543493043003,2,DubaiCoin
XVP,X11,PoW/PoS,13162749.0858027,100000000.0,-0.4125713506015286,1.1223929407201623,-0.44830646440485683,0,VirtacoinPlus
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.4652410385991762,1.796995146315163,-0.6846593641748596,0,TajCoin
IMX,X11,PoW/PoS,110630387.850471,110000000.0,-0.4113074769309177,1.122437731124852,-0.44834076044400467,0,Impact
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.1341767312201981,-1.1167202910004972,0.004283152273097803,2,EB3coin
ATMOS,PoS,PoS,111135836.889,110290030.0,-0.303041038282474,1.7300772631475927,-0.1951633249849338,0,Atmos
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.412469066022591,1.1223970988374927,-0.44830932635521675,0,HappyCoin
CXT,NIST5,PoW,10123200.0,48252000.0,-0.19928585945337118,-0.6693880987740369,-0.041172767145324876,2,Coinonat
MCRN,PoS,PoS,401421401.0,400000000.0,-0.29742739352967384,1.7301145775512647,-0.19528947003853026,0,MacronCoin
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.40839744344964857,1.1222990546466787,-0.44838055185618353,0,Condensate
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.3516539215941616,0.9414457703442057,-0.5540267340428688,0,Independent Money System
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.3516530020299611,0.9414409397504166,-0.5540259711237031,0,ArgusCoin
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.34474905984774273,0.9410815328380554,-0.5541154493098344,0,LomoCoin
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.2734003483581105,0.6330613766248261,-0.10542513471053713,0,ProCurrency
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.41294921914539834,1.1224171142784691,-0.4483022964811795,0,GoldReserve
BENJI,Scrypt,PoW,20276099.146524,35520400.0,-0.16292172085953252,-1.1152765940657217,0.004664240606283978,2,BenjiRolls
GRW,Scrypt,PoS,295135466.361878,2000000000.0,-0.25613924200784394,0.8834123096425098,-0.2981849817383531,0,GrowthCoin
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.11701036471115582,-1.3388113568032114,0.2034265397856197,2,ILCoin
PHR,PoS,PoS,11390225.9742772,30000000.0,-0.30483292765375214,1.7300573226974876,-0.19512175831438247,0,Phreak
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.35086207044013745,0.9414227520229826,-0.5540399459799561,0,Degas Coin
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,0.8615944629687856,1.6981214780381342,-0.6588936156601154,0,HTML5 Coin
USC,SHA-256,PoS,10343113.0,200084200.0,-0.25993295873742256,0.6606667840865181,-0.09848714110854546,0,Ultimate Secure Cash
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.16274295252787754,-1.1152933636137525,0.004663132781153438,2,EquiTrader
QTUM,POS 3.0,PoS,100000000.0,100000000.0,-0.30928848893828864,1.6958414054126978,-0.11855600296183116,0,QTUM
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.15334547219593478,-2.195725018389641,0.39310191631786057,2,Quantum Resistant Ledger
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.5621233588401037,1.6917531560854784,-0.7252590229707813,0,Espers
DYN,Argon2d,PoW,19784224.6512734,0.0,-0.15934237328062953,-2.224472813843775,0.48129861061346735,2,Dynamic
NANO,Blake2b,PoW,133248297.0,340282367.0,-0.014280941147432091,-2.1495611876276897,0.38810432365465697,2,Nano
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,-0.15552129040846263,-2.1944613794782004,0.33472614318959726,2,ChanCoin
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.3584327367497049,-2.2453590541585497,0.4556064663842103,2,Dinastycoin
DNR,NIST5,PoW/PoS,4171382.0,10000000.0,-0.38807884139758325,1.3873475715827104,-0.5998645970883747,0,Denarius
DP,X11,PoW,35138975.0,100000000.0,-0.22385445393773018,-0.9343206179133211,0.11038341106164216,2,DigitalPrice
VUC,NIST5,PoW/PoS,62942075.0,120000000.0,-0.3865769680432915,1.387336145862351,-0.5998948775217318,0,Virta Unique Coin
BTPL,Skein,PoW/PoS,6804362.0,100000000.0,-0.4456295957949533,1.7271735885723665,-0.6588653032208326,0,Bitcoin Planet
UNIFY,Scrypt,PoW,18133195.0,19276800.0,-0.16306352307646904,-1.1152716555371578,0.004666474282574987,2,Unify
